"ID","Language","SKU","Title","Subtitle","Related Interests","Body","Price","Currency","Image"
"id","language","field_product_id","label/title","field_subtitle","field_interests","body","field_price","field_currency","field_image"
"1","en","NYC-Vac4","Artist Lofts in New York City","NYC SoHo Package","Bar, Culture, Dining, Foodie, USA","The Mercer Hotel, located at the corner of Mercer and Prince Street in SoHo, New York City,  is the first hotel to offer a taste of ‘loft living’, an urban signature that is completely original to New York. Located at the corner of Mercer and Prince Street in SoHo, New York City,  the six-story, 84,000 square foot brick building has been cited by the New York City Landmarks Preservation Commission as an example of the Romanesque Revival period.  Parisian designer Christian Liaigre ensured all furnishings were kept original and exclusive to the hotel. Liaigre created a modernist interior with an emphasis on harmonized proportions and subtle color palettes. Enjoy your own artists loft during your stay at a great rate thanks to World Travel Nexus.","1800","USD","soho.jpg"
"1","fr","NYC-Vac4","Lofts Artiste à New York","New York SoHo Package","Bar, Culture, gastronomie, gourmand, USA","L'Hôtel Mercer, situé à l'angle de Mercer et Prince Street à SoHo, New York City, est le premier hôtel d'offrir un avant-goût de «loft vie», une signature urbaine qui est tout à fait originale à New York. Situé à l'angle de Mercer et Prince Street à SoHo, New York City, les six étages, 84 000 pieds carrés de construction de briques a été cité par la Ville Monuments Commission de préservation de New York comme un exemple de la période néo-roman. Designer parisien Christian Liaigre assurée tous les meubles ont été conservés original et exclusif à l'hôtel. Liaigre a créé un intérieur moderne avec un accent sur les proportions harmonisées et des palettes de couleurs subtiles. Profitez de votre propre artistes grenier pendant votre séjour à un très bon prix grâce à Voyage mondiale Nexus.","1800","USD","soho.jpg"
"1","es","NYC-Vac4","Lofts artista en Nueva York","NYC SoHo Paquete","Bar, Cultura, Comedor, Foodie, EE.UU.","The Mercer Hotel, ubicado en la esquina de Mercer y Prince Street en SoHo, Nueva York, es el primer hotel que ofrece un sabor de 'loft', una firma urbano que es completamente original a Nueva York. Ubicado en la esquina de Mercer y Prince Street en SoHo, Nueva York, el de seis pisos, 84,000 pies cuadrados de edificio de ladrillo ha sido citado por la City Landmarks Preservation Commission de Nueva York como un ejemplo de la época románica Revival. Diseñador parisino Christian Liaigre aseguró que todos los muebles se mantuvieron original y exclusivo al hotel. Liaigre creado un interior modernista con énfasis en proporciones armonizadas y paletas de colores sutiles. Disfrute de su propio loft de artistas durante su estancia en un gran precio gracias a World Travel Nexus.","1800","USD","soho.jpg"
"1","hu","NYC-Vac4","Művész Padlásokon a Város New York","NYC SoHo csomag","Bár, kultúra, étkező, Ételszeretők, USA","A Mercer Hotel található, a sarkán Mercer és Prince Street SoHo, New York City, az első hotel kínál egy kis ízelítőt a ""loft élet"", egy városi aláírás, amely teljesen eredeti, hogy New York-ba. Található sarkán Mercer és Prince Street SoHo, New York City, a hat emeletes, 84.000 négyzetméteres tégla már idézett a New York Látványosságok megőrzése Bizottság példaként a román Revival időszak. Párizsi tervező Christian Liaigre biztosítani minden berendezése tartották eredeti és exkluzív a szállodába. Liaigre létrehozott egy modern belső tér a hangsúlyt a harmonizált arányok és finom színpaletta. Élvezze saját művész loft tartózkodása alatt egy nagy sebességgel, köszönhetően a World Travel Nexus.","1800","USD","soho.jpg"
"2","en","TAJ-Vac6","Immerse Yourself In the Culture of India","India Vacation Package","Culture,India,Off The Beaten Path","Find yourself knee deep in culture during this 4-day private tour of India's Golden Triangle. From Delhi travel by private air-vehicle to Agra. The magnificent Taj Mahal awaits you - one of the Seven Wonders of the modern world.  You'll also visit Agra Fort and other monuments of the Mughal Empire including Fatehpur Sikri. Later on, in the 'pink city' of Jaipur, you'll climb hilltop forts and bask in the glory of palaces in Rajasthan's capital as you explore India's royal past. You'll recieve expert service from your personal guide on this journey of discovery!","1100","USD","taj-mahal.jpg"
"2","fr","TAJ-Vac6","Immergez-vous dans la culture de l'Inde","Inde Voyage","Culture, de l'Inde, hors des sentiers battus","Trouvez-vous jusqu'aux genoux dans la culture au cours de cette visite privée de 4 jours du Triangle d'Or de l'Inde. De Delhi Voyage par avion-véhicule privé à Agra. Le magnifique Taj Mahal vous attend - l'une des sept merveilles du monde moderne. Vous pourrez également visiter le Fort d'Agra et d'autres monuments de l'Empire moghol, y compris de Fatehpur Sikri. Plus tard, dans la ville rose de Jaipur, vous grimperez forts perchés et se prélasser dans la gloire de palais dans la capitale du Rajasthan que vous explorez passé royal de l'Inde. Vous recevez un service expert de votre guide personnel sur ce voyage de découverte!","1100","USD","taj-mahal.jpg"
"2","es","TAJ-Vac6","Sumérjase en la cultura de la India","India Paquetes de Vacaciones","Cultura, la India, de la trayectoria batida","Encuéntrate a ti mismo hasta las rodillas en la cultura durante este tour privado de 4 días de la India Triángulo de Oro. De viajes Delhi por aire del vehículo privado a Agra. El magnífico Taj Mahal le espera - una de las siete maravillas del mundo moderno. También visitará el Fuerte de Agra y otros monumentos del Imperio Mughal incluyendo Fatehpur Sikri. Más tarde, en la ""ciudad rosa"" de Jaipur, podrás subir fuertes de montaña y disfrutar de la gloria de los palacios de la capital de Rajasthan a medida que explora pasado real de la India. Usted reciba el servicio experto de su guía personal en este viaje de descubrimiento!","1100","USD","taj-mahal.jpg"
"2","hu","TAJ-Vac6","Merüljön el a kultúra India","India nyaralási","Kultúra, India, le a kitaposott ösvényről","Keressen magának térdig kultúra alatt a 4 napos egyéni túra India Arany Háromszög. Delhi utazás magán légi jármű Agra. A csodálatos Taj Mahal várja Önt - az egyik a hét csodája a modern világban. Akkor is látogasson Agra Fort és más műemlékek, a Mogul Birodalom beleértve Fatehpur Sikri. Később, a ""rózsaszín város Jaipur, akkor mászni hegytetőn várak és sütkérezik a dicsőségben, paloták Rajasthan fővárosa, amit felfedezni India királyi múlt. Majd megkapod szakértői szolgáltatás az Ön személyes útmutató ezt felfedező útra!","1100","USD","taj-mahal.jpg"
"3","en","PORT-Vac5","All Trails Lead to Portland","Portland Vacation Package","Beer,Family Friendly,Foodie,Recreation,USA","Let us book your stay at the often awarded ""Greenest City in America"" and ""most green cities"" designations. Portland is home to a diverse array of artists and arts organizations. The city hosts a number of festivals throughout the year in celebration of beer and brewing, including the Oregon Brewers Festival - the largest outdoor craft beer festival in North America. The city has been recognized by the Food Network Awards as their ""Delicious Destination of the Year: A rising city with a fast-growing food scene"" and The Washington Post, which called Portland ""one of the best places in the country to dine."" Home to free speech, charges against a nude bicyclist in November 2008 were dropped on the grounds that the city's annual World Naked Bike Ride was ""a well-established tradition"" in Portland.","900","USD","portland.jpg"
"3","fr","PORT-Vac5","Tous les sentiers mènent à Portland","Portland forfait vacances","Bière, la famille, gourmand, des loisirs, États-Unis","Laissez-nous réserver votre séjour à l'""ville la plus verte en Amérique», souvent attribué et «la plupart des villes vertes» désignations. Portland est la maison à un large éventail d'artistes et organismes artistiques. La ville accueille de nombreux festivals tout au long de l'année dans la célébration de la bière et le brassage, y compris les Brewers Festival de l'Oregon - le plus grand festival de la bière artisanale en plein air en Amérique du Nord. La ville a été reconnue par le Prix Food Network comme leur ""Delicious Destinations de l'année: Une ville se levant avec une scène alimentaire à croissance rapide"" et le Washington Post, qui a appelé Portland ""l'un des meilleurs endroits dans le pays de destination. ""Accueil à la liberté d'expression, des accusations contre un cycliste nu en Novembre 2008 ont été abandonnées au motif que annuelle mondiale Nu Bike Ride de la ville était ""une tradition bien établie"" à Portland.","900","USD","portland.jpg"
"3","es","PORT-Vac5","Todos los senderos conducen a Portland","Portland Paquete Vacacional","Cerveza, Para toda la familia, Foodie, Recreación, EE.UU.","Vamos a reservar su estancia en la ""ciudad más ecológica de Estados Unidos"" a menudo concedido y ""la mayoría de ciudades verdes"" designaciones. Portland es el hogar de una gran variedad de artistas y organizaciones artísticas. La ciudad alberga una serie de festivales durante todo el año en la celebración de la cerveza y de la cerveza, incluyendo el Festival de la Cerveza de Oregon - el mayor festival de cerveza del arte al aire libre en América del Norte. La ciudad ha sido reconocida por los Premios de Food Network como su ""delicioso Destino del Año: Una ciudad creciente con una escena de la comida de rápido crecimiento"", y The Washington Post, que llama Portland ""uno de los mejores lugares del país para cenar. ""El hogar de la libertad de expresión, los cargos contra un ciclista nudista en noviembre de 2008 se retiraron de la base de que anual World Naked Bike Ride de la ciudad era ""una tradición bien establecida"" en Portland.","900","USD","portland.jpg"
"3","hu","PORT-Vac5","Minden ösvények vezetnek a Portland","Portland nyaralási","Sör, családbarát, Ételszeretők, Pihenés, USA","Engedje meg, foglalja le marad a gyakran elnyerte a ""legzöldebb város Amerikában"" és ""a legtöbb zöld városok"" elnevezések. Portland ad otthont a különböző tömb művészek és művészeti szervezetek. A város ad otthont számos fesztiválok egész évben ünnepi sör és sör, beleértve az Oregon Sörgyártók Festival - a legnagyobb szabadtéri kézműves sörfesztivál Észak-Amerikában. A város már elismerte a Food Network Awards, mint a ""finom Destination of the Year: A növekvő város a gyorsan növekvő élelmiszer-jelenet"", és a The Washington Post, amely felhívta Portland ""az egyik legjobb hely az országban, hogy vacsorázni. ""Otthon a szólásszabadság, a díjak ellen a meztelen kerékpárosok 2008 novemberében dobtak az alapon, hogy a város éves World Naked Bike Ride ""egy jól megalapozott hagyomány"" a Portland.","900","USD","portland.jpg"
"4","en","LOND-Pro1","Travel to London for Less","London Business Package","Bar,Business,Dining,Europe,Free Wifi,Room Service,UK","Wherever you do business, travel can be expensive. And when travelling to London the cost can be prohibitive. Nexus travel can provide you with packaged travel solutions to ensure that you can work, rest and recharge both affordably and pleasurably. It starts at the Airport where our chauffeur service will pick you up and whisk you to a quiet, well-situated but reasonably priced hotel. There you will enjoy the benefits of complimentary wifi, a choice of bars and restaurants and 24-hour room service so that you won't go starving while you finish off that essential presentation. If you can provide us with your itinerary ahead of time we can also provide you with multi-day passes and custom timetables for public transport - or if you prefer, a limousine service. ","1800","USD","london-bigben.jpg"
"4","fr","LOND-Pro1","Voyage à Londres pour moins","Londres Business Package","Bar, affaires, manger, en Europe, Wifi gratuit, Room Service, Royaume-Uni","Partout où vous faites des affaires, Voyage peut être coûteux. Et lorsque vous voyagez à Londres, le coût peut être prohibitif. Voyage Nexus peut vous fournir des solutions de voyage emballés pour s'assurer que vous pouvez travailler, se reposer et se ressourcer à la fois abordable et avec plaisir. Il commence à l'aéroport où notre service de chauffeur viendra vous chercher et vous emmènera dans un hôtel calme, bien situé, mais à un prix raisonnable. Il vous apprécierez les avantages de wifi gratuit, un choix de bars et restaurants et un service de chambre 24 heures de sorte que vous ne passerez pas mourir de faim pendant que vous finir cette présentation essentiel. Si vous pouvez nous fournir votre itinéraire à l'avance, nous pouvons également vous fournir des laissez-passer plusieurs jours et horaires personnalisés pour les transports publics - ou si vous préférez, un service de limousine.","1800","USD","london-bigben.jpg"
"4","es","LOND-Pro1","Viaja a Londres por menos","London Business Package","Negocios, Comedor, Europa, Wifi gratuito, servicio de habitaciones, Reino Unido","Dondequiera que usted hace negocios, los viajes pueden ser costosos. Y cuando se viaja a Londres el coste puede ser prohibitivo. Viajes Nexus puede proporcionarle soluciones de viajes empaquetados para asegurar que se puede trabajar, descansar y recargar tanto asequible y placenteramente. Se inicia en el aeropuerto, donde nuestro servicio de chófer le recogerá y te llevará a un hotel tranquilo, bien situado, pero a un precio razonable. Allí podrá disfrutar de los beneficios de wifi gratuito, una selección de bares y restaurantes y servicio de habitaciones las 24 horas por lo que no vas a ir muriendo de hambre mientras culminar la presentación esencial. Si usted nos puede proporcionar su itinerario antes de tiempo también le podemos proporcionar con pases de varios días y horarios personalizados para el transporte público - o si lo prefiere, un servicio de limusina.","1800","USD","london-bigben.jpg"
